idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,sigma,beta,seed,K
1,3.047286498801027,1.0,1.828371899280616,0.0,0.0,3.047286498801027,0.0,1.2899969725395115,0.9831077814613254,-0.005190389204516808,-0.09986520845572615,2.6235788711612726,1.4026718613830036,5.960540267916768,0.1,0.99,1,1
2,3.198374750692238,1.0,1.9190248504153427,0.0,0.0,3.198374750692238,0.0,2.521690457766427,-0.590415512125065,-0.07548215594762059,0.06559301893874901,1.6062188983682044,-0.3184985114558334,3.381254158776311,0.1,0.99,1,1
3,1.536166788988659,1.0,0.9217000733931954,0.0,0.0,1.536166788988659,0.0,-0.04803869815171683,-0.7928505464136844,-0.06055669340286471,0.07957943757096705,0.9367951349079342,0.5603510839928608,1.6481633265414255,0.1,0.99,1,1
4,3.8991597630941346,1.0,2.339495857856481,0.0,0.0,3.8991597630941346,0.0,-0.9974889688480915,-0.40763963804946424,0.053467445962683026,0.08450581176598193,1.660156441422066,1.6966139859878613,1.0094063411047631,0.1,0.99,1,1
5,3.452013204212162,1.0,2.071207922527297,0.0,0.0,3.452013204212162,0.0,0.21523157050244188,0.42398450741812477,0.06717510310901616,0.07407769922380857,3.648653330629826,0.4884127891951502,3.3212242924482505,0.1,0.99,1,1
6,3.371764072417136,1.0,2.0230584434502816,0.0,0.0,3.371764072417136,0.0,2.539040199775017,-1.0562338926451305,-0.09936469740330583,-0.011254195215539291,2.238075222594234,-0.871550650681232,3.201257036844459,0.1,0.99,1,1
7,3.7331476240130286,1.0,2.239888574407817,0.0,0.0,3.7331476240130286,0.0,0.30444795974264116,1.0656809228612105,0.08595914846413363,0.051098187789011,2.579308423264015,1.8549808865175657,5.041402708247953,0.1,0.99,1,1
8,4.506148385666322,1.0,2.7036890313997928,0.0,0.0,4.506148385666322,0.0,3.244018506323734,1.0067076495008225,-0.09941695787499796,-0.010782786600915396,1.9734992776940423,1.8361554803228164,0.04455927328045018,0.1,0.99,1,1
9,1.8608726686518944,1.0,1.1165236011911366,0.0,0.0,1.8608726686518944,0.0,0.8973358536855026,1.1841475865885203,-0.02131972370189414,-0.09770091801654114,1.2331347257224565,-0.8398691176869917,6.054922669216448,0.1,0.99,1,1
10,3.3580082483361924,1.0,2.0148049490017153,0.0,0.0,3.3580082483361924,0.0,4.342068155665084,-1.0119519251848055,-0.08867971574713707,-0.04621588487746364,1.533145944677779,-0.27954212992087335,5.7748041108792005,0.1,0.99,1,1
11,1.846698970430042,1.0,1.108019382258025,0.0,0.0,1.846698970430042,0.0,0.6927835721902711,-0.5497855003291071,-0.02025948745556319,0.0979262639338287,1.8561488204605288,0.3878753578875664,5.186692900370194,0.1,0.99,1,1
12,1.7142875126974877,1.0,1.0285725076184926,0.0,0.0,1.7142875126974877,0.0,2.16842785337816,-0.17910704497010435,-0.08408022843365881,-0.054134233037365115,1.504185093922377,0.023690355996380735,1.6493029223637636,0.1,0.99,1,1
13,3.6154640442735775,1.0,2.1692784265641465,0.0,0.0,3.6154640442735775,0.0,4.1226328633927185,-0.715414507665696,-0.03068288102188384,-0.09517647194657365,2.7652620314317318,-1.054698867485851,3.971822082429291,0.1,0.99,1,1
14,1.9728618572253085,1.0,1.183717114335185,0.0,0.0,1.9728618572253085,0.0,-1.1595708441769188,0.4750326213764277,0.0893248155055269,-0.044956393704384055,1.524037528642911,0.26626733868515184,1.6198247694253658,0.1,0.99,1,1
15,3.659936985447843,1.0,2.1959621912687055,0.0,0.0,3.659936985447843,0.0,-0.8290808512303243,0.3659115808736566,0.020649419376252465,-0.09784478258662366,0.5609456580237313,-0.766931849769404,5.2758939640606215,0.1,0.99,1,1
16,1.8129661763495863,1.0,1.0877797058097518,0.0,0.0,1.8129661763495863,0.0,2.715051943385107,1.1715561079420758,-0.01804724529735081,-0.09835800393042372,0.6792341844404395,0.5330817314913685,1.966937706981462,0.1,0.99,1,1
17,3.3879509220950257,1.0,2.0327705532570155,0.0,0.0,3.3879509220950257,0.0,1.6548420093010032,-0.861507013978997,0.0931789499329828,0.03629990756719205,0.9729143984551503,-1.8088998376823546,3.143832173958728,0.1,0.99,1,1
18,3.024259690117492,1.0,1.814555814070495,0.0,0.0,3.024259690117492,0.0,0.4507599289717358,1.3949032319392072,0.03348220234882509,-0.0942281387159501,1.0635088238140524,1.5439303950178702,4.830335426435867,0.1,0.99,1,1
19,2.180937022650783,1.0,1.3085622135904698,0.0,0.0,2.180937022650783,0.0,0.8559998453917996,-0.8043003646135847,-0.07091849953320092,0.07050224410583951,1.9449217532575613,0.8486781892692687,4.609284806505391,0.1,0.99,1,1
20,2.560298207759447,1.0,1.536178924655668,0.0,0.0,2.560298207759447,0.0,-0.15382928059443268,-0.8194601883873796,0.09132810566720821,-0.040732997867076445,0.209502887088989,-1.0741700566570997,4.358160803729612,0.1,0.99,1,1
21,4.952875604880849,1.0,2.971725362928509,0.0,0.0,4.952875604880849,0.0,1.889487039506713,0.011408850583588759,0.003309520480486678,-0.09994522036690519,0.829582278286862,1.996141511482866,4.0307487599376435,0.1,0.99,1,1
22,2.9742862397735848,1.0,1.7845717438641509,0.0,0.0,2.9742862397735848,0.0,0.6224617253035485,1.2150077124543888,-0.07829651588426878,-0.06220655592768697,1.0984025119624614,1.7155543188379565,4.701192087038066,0.1,0.99,1,1
23,2.2140357063980427,1.0,1.3284214238388257,0.0,0.0,2.2140357063980427,0.0,3.4373736391500023,-0.5630494154389918,-0.08352437215806525,-0.0549879919218825,1.0057797133752064,1.323909094124962,5.334704064887495,0.1,0.99,1,1
24,1.1059381956158894,1.0,0.6635629173695335,0.0,0.0,1.1059381956158894,0.0,0.24607884183676712,0.1861547702991282,0.06233079617635351,-0.07819764605166753,0.24558954446548953,0.3197758403056747,2.9975443826579053,0.1,0.99,1,1
25,4.166624822361362,1.0,2.499974893416817,0.0,0.0,4.166624822361362,0.0,1.1983863074082466,0.8482814037785054,0.0025119130289697426,-0.09996844648655341,3.334825149744707,-1.4885373975877465,4.601558852637978,0.1,0.99,1,1
26,1.3008444472576177,1.0,0.7805066683545706,0.0,0.0,1.3008444472576177,0.0,-0.649547682601514,0.9768020277229164,0.09954341937866995,-0.00954503317973481,-0.09138026476766625,-0.19051817659081557,4.862521279675041,0.1,0.99,1,1
27,3.282258391809993,1.0,1.9693550350859956,0.0,0.0,3.282258391809993,0.0,0.47265464497672416,0.652115178318704,0.03513653330422608,-0.09362384326314005,2.389954721943892,-0.23279543577543996,0.9698324761316475,0.1,0.99,1,1
