idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,sigma,beta,seed,K
1,4.047286498801027,1.0,2.428371899280616,0.0,0.0,4.047286498801027,0.0,2.224363111945442,-1.417322660270795,-0.08058552259784027,0.05921126200000281,4.268944079873007,-0.7506658181036512,2.659838524324996,1.67438548829467,0.8533034762772954,5.200608776207033,0.1,0.99,1,2
2,4.152573252877113,1.0,2.491543951726268,0.0,0.0,4.152573252877113,0.0,1.0892753613916726,0.751094017890158,0.022840582256303057,-0.09735660122556178,1.6069527354162543,1.351529270005447,0.8422088226928,-0.042279324243847505,0.637243383294786,2.532833593577886,0.1,0.99,1,2
3,3.9407638977265402,1.0,2.364458338635924,0.0,0.0,3.9407638977265402,0.0,-0.9974889688480915,-0.40763963804946424,0.05354782258431852,0.08445490332999234,1.6010268486589916,-2.312260412717582,1.7397587449451388,-0.2709458913372911,-0.5939284722680761,1.0094063411047631,0.1,0.99,1,2
4,4.452013204212162,1.0,2.671207922527297,0.0,0.0,4.452013204212162,0.0,-0.5568214442570194,-1.0119620397772664,0.09291789508029696,0.03696301900341646,-0.29119519932897164,-0.4570961475489886,0.39175395962332904,1.711745344818627,0.1343296752591422,4.029583729416905,0.1,0.99,1,2
5,4.043555537866132,1.0,2.426133322719679,0.0,0.0,4.043555537866132,0.0,-0.2882277748657218,-0.5894095209823602,0.018489617454722104,0.0982758060072673,2.9137147474227594,-1.9070597201076755,4.945475938503115,1.6420006143932333,-0.8523242311940413,1.2039604632920315,0.1,0.99,1,2
6,5.506148385666322,1.0,3.303689031399793,0.0,0.0,5.506148385666322,0.0,1.1850231636904716,0.41799414019976355,0.07662276647372177,0.06425691914427194,5.02031331872247,0.10109344464395399,4.523324060962534,1.6992710917007365,-1.3713358917817964,5.250036224246081,0.1,0.99,1,2
7,5.854683491379884,1.0,3.5128100948279304,0.0,0.0,5.854683491379884,0.0,5.380972968485266,0.9804759886701633,0.0020513114347149963,-0.09997895839324297,4.002737997742289,-0.837242160964251,3.7039506950385594,0.769975732854542,1.1385047551014553,0.15387946498917343,0.1,0.99,1,2
8,4.641421522082093,1.0,2.784852913249256,0.0,0.0,4.641421522082093,0.0,1.7412153434839692,-0.5497855003291071,0.020904450552149602,0.09779061277603661,2.64981525319708,1.340167041141209,0.394068329593478,3.5139357219631284,-2.129876837669466,5.186692900370194,0.1,0.99,1,2
9,2.7142875126974877,1.0,1.6285725076184925,0.0,0.0,2.7142875126974877,0.0,1.96865627915552,0.461598033205183,-0.09087413155355717,-0.04173598225017336,1.2767439406803964,1.022010590381474,0.6655227581977521,1.2477824345296893,0.059062462012679645,3.9782612700315196,0.1,0.99,1,2
10,5.469282022568796,1.0,3.2815692135412777,0.0,0.0,5.469282022568796,0.0,1.4048806206879725,-1.280429782827102,0.09999842233935705,0.0005617202502835105,1.3118768932356675,2.1870101723142783,1.2333697043981378,-0.10877371225321442,-0.800369472293541,6.25893968962975,0.1,0.99,1,2
11,5.052514130176213,1.0,3.031508478105728,0.0,0.0,5.052514130176213,0.0,4.2425183246255935,0.6794208309371115,-0.09988886936917674,0.004713149281270995,0.7216120398173145,1.7767748063190616,4.1782192462473615,1.570314612553688,0.5183497521816062,2.8646861617141073,0.1,0.99,1,2
12,3.793585237377937,1.0,2.276151142426762,0.0,0.0,3.793585237377937,0.0,3.686188746819229,0.8239924047711957,-0.022274763855508528,-0.09748761406035811,2.296481451561305,1.3210792212503515,1.9737614773354712,1.7378346875123514,0.7370568152883905,1.966937706981462,0.1,0.99,1,2
13,5.03707400215832,1.0,3.022244401294992,0.0,0.0,5.03707400215832,0.0,0.668401070555587,0.018194767588118888,0.06326795443632437,0.07744137099408291,1.6538728887498853,-2.169151620556178,0.48433185299202997,-0.3766527076761861,-0.006483847164498624,3.069017006926989,0.1,0.99,1,2
14,3.180025771222078,1.0,1.9080154627332466,0.0,0.0,3.180025771222078,0.0,3.474473410895322,-0.4397002793388755,-0.08435293098534083,0.05370831438597126,2.581420753329473,1.3475317132300964,2.5235548207674237,2.939954105597205,-0.3020348892141233,1.8550115373559517,0.1,0.99,1,2
15,2.9275995138485538,1.0,1.7565597083091322,0.0,0.0,2.9275995138485538,0.0,1.158030785972764,1.3228025629857054,-0.06529972609001906,-0.07573602691301205,3.05456505523924,-0.2551008173926136,4.358160803729612,0.6893254258956568,-0.7770233742889939,3.276838984707445,0.1,0.99,1,2
16,5.952875604880849,1.0,3.5717253629285093,0.0,0.0,5.952875604880849,0.0,2.938170098450029,1.414795240340664,-0.06027469427024577,-0.07979324050712819,1.016747741700152,-2.4152621271875034,2.396990789155997,1.4056798512520605,1.4569149519704845,3.165487294375997,0.1,0.99,1,2
17,4.992871836306449,1.0,2.9957231017838692,0.0,0.0,4.992871836306449,0.0,4.239170480961435,0.31704944596711293,-0.04163240130115163,-0.09092163197996322,4.145177588024817,-1.120444750092907,1.907002828207893,3.8592439147386113,0.1446275694158266,6.277064745309887,0.1,0.99,1,2
18,4.521271021773913,1.0,2.712762613064348,0.0,0.0,4.521271021773913,0.0,1.0060138451486142,0.1861547702991282,0.08776380406103355,-0.047932397151994294,3.8718101532262152,0.27061378299241967,2.3364311698154347,0.025377005219278104,0.7760964492611755,2.9975443826579053,0.1,0.99,1,2
19,5.166624822361362,1.0,3.099974893416817,0.0,0.0,5.166624822361362,0.0,0.3885875972176978,1.3885937353296836,0.09054254206126043,-0.042450536829171985,2.316593839714903,-2.396691392507282,1.8071421258334888,0.2753657581944755,-1.717562523706476,4.91822907111472,0.1,0.99,1,2
20,5.095577190199245,1.0,3.057346314119547,0.0,0.0,5.095577190199245,0.0,4.851138626123214,-1.036939102357787,-0.09246651226042256,0.03807813165575652,4.721697418022267,0.4700637876662398,4.239198496305671,3.472561153064031,2.204870878371077,3.584963098651965,0.1,0.99,1,2
21,2.5760115000770307,1.0,1.5456069000462185,0.0,0.0,2.5760115000770307,0.0,2.720612751503123,0.9969593632498962,-0.0031191368488622884,-0.09995134308911546,2.1590562551997508,0.9772414382127734,1.0985240828911884,2.0667809406912006,0.23150281273766704,1.205106878853412,0.1,0.99,1,2
22,4.686350535922813,1.0,2.8118103215536876,0.0,0.0,4.686350535922813,0.0,1.2201580129361853,-0.7069808126030235,0.09946865997246494,-0.010294934836226649,4.901879218151041,0.36608874462448393,2.263604746951707,4.351195402807296,1.841164684445441,0.5880235399824377,0.1,0.99,1,2
23,2.39086263033756,1.0,1.4345175782025361,0.0,0.0,2.39086263033756,0.0,0.9220549288882661,-1.4404975635901893,0.09975778048747498,0.006955949411313821,0.22695827467741636,-0.766032381133224,2.6984028035554437,2.326200091933625,0.2456464326865702,4.305261128485398,0.1,0.99,1,2
24,2.8658143199962156,1.0,1.7194885919977294,0.0,0.0,2.8658143199962156,0.0,0.266497784216397,1.389545150219205,0.09970747802889376,-0.007643220860191574,2.2612521272263213,-0.7347219132586834,0.13486151205996932,0.9569528851783943,1.0691594926636077,5.1913143928813295,0.1,0.99,1,2
25,3.35141681111702,1.0,2.010850086670212,0.0,0.0,3.35141681111702,0.0,-0.4119115540187685,1.1092943432764717,0.08278962891858388,-0.05608812123367283,1.2871074952209092,0.6192389419149886,2.6311028057246952,2.5568359148934716,-0.8873366742931342,0.5155039763248171,0.1,0.99,1,2
26,2.3683558627564647,1.0,1.4210135176538787,0.0,0.0,2.3683558627564647,0.0,-0.09361628561494577,1.2450606466441356,-0.053664105404908825,-0.08438106298862819,2.2907714499365124,0.22613045630513345,4.943577281700932,1.5780219772288318,-1.0438093552451322,5.751051464903692,0.1,0.99,1,2
27,5.857845360641429,1.0,3.514707216384857,0.0,0.0,5.857845360641429,0.0,3.2236792176014917,0.17222664027273016,-0.08650169193716983,-0.05017426922245077,1.2776881949368597,2.291315870908847,0.4109138182651714,3.0411106668632204,-3.4182904889594554,1.0442978544311066,0.1,0.99,1,2
28,3.6978543385283102,1.0,2.218712603116986,0.0,0.0,3.6978543385283102,0.0,2.2938550580069017,-0.7499449802039662,-0.02173293460680681,0.09760983328218659,0.22353281344874953,0.43830206421881207,0.35105390977150475,2.988379817639334,-1.8601673931854694,2.4227161892635736,0.1,0.99,1,2
29,5.78802467494276,1.0,3.472814804965656,0.0,0.0,5.78802467494276,0.0,-0.014348973011072191,0.07729934721277956,0.09158068143059239,0.04016190718464888,5.459246270883572,1.1157966601272364,1.3282556213789987,5.408669633814151,0.8552488436536443,0.8659660402068364,0.1,0.99,1,2
30,2.1861328082994365,1.0,1.311679684979662,0.0,0.0,2.1861328082994365,0.0,1.8024274647503882,0.7378451405289677,-0.09332937336849818,0.03591139187839233,1.0462530816105726,0.3398639974793318,5.060782919986289,0.7640713531400489,-0.17118301546074038,1.6788142379403546,0.1,0.99,1,2
31,5.225395738825428,1.0,3.135237443295257,0.0,0.0,5.225395738825428,0.0,2.503139690116253,0.12342315991262609,-0.017426824915211855,-0.0984698216377716,0.6163310035793121,-2.0458445327785912,1.5299098306201584,3.0468922007985073,1.2487801431448848,3.103929703543077,0.1,0.99,1,2
32,5.114321472511648,1.0,3.0685928835069887,0.0,0.0,5.114321472511648,0.0,3.1867019532778595,-0.0046212521311503885,-0.010855742262854894,0.09940901800099661,0.9469924781302441,-0.15379110369690316,1.095686374048789,1.5869688198727308,2.766368175831223,3.0486264076377174,0.1,0.99,1,2
33,5.332379075234135,1.0,3.199427445140481,0.0,0.0,5.332379075234135,0.0,2.3432215220674895,0.3969989594457446,0.030459705097251356,-0.09524813050862721,2.9455652648507917,-0.6714916269762744,4.17455485983813,5.251049983627088,-1.3379232506473833,1.0092280577965282,0.1,0.99,1,2
34,4.702712351876473,1.0,2.8216274111258834,0.0,0.0,4.702712351876473,0.0,-0.23582249742123257,-1.348598040462695,0.010848866078528238,0.09940976865887054,1.1241122027265973,-0.3424870855547617,0.7698513686643995,0.8444228146867367,0.7364664104549623,6.068477057635838,0.1,0.99,1,2
35,5.918024982351543,1.0,3.550814989410926,0.0,0.0,5.918024982351543,0.0,3.7844108958359106,-0.34795374452607053,-0.0424502689286812,-0.09054266766493378,1.770093226160611,1.0369543794834946,1.5721769541489163,1.1079130533819583,-1.6092608932368726,0.6312860147402025,0.1,0.99,1,2
36,3.6239550885955927,1.0,2.1743730531573555,0.0,0.0,3.6239550885955927,0.0,-0.9496074227045752,-0.7431545998586666,0.08098393899768291,-0.05866516534042644,0.6473717746901035,0.24736765575561162,1.800076195598825,1.5268366272164386,1.9408041371447435,5.9511553385894835,0.1,0.99,1,2
37,3.2883387496557437,1.0,1.9730032497934462,0.0,0.0,3.2883387496557437,0.0,0.3015891240319085,-0.8700119849648263,-0.05217148891927498,0.08531199062233848,0.7830565667390427,1.1693265226517682,1.0694369346824044,2.8773232868148098,-0.20219318200123787,3.8564844234528413,0.1,0.99,1,2
