idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,agent3_x,agent3_y,agent3_phi,agent4_x,agent4_y,agent4_phi,sigma,beta,seed,K
1,6.047286498801027,1.0,3.6283718992806158,0.0,0.0,6.047286498801027,0.0,-0.33762120359216835,0.7537906133610163,0.08653301255212818,-0.0501202328272049,-0.1111091231038186,1.638981595700143,0.17315901540774553,3.669828174845281,-1.2166833017916698,4.734462493192759,0.049367520435365186,1.9085943140322978,3.381254158776311,1.0950672317560894,-0.621193512101289,2.0717654764182005,0.1,0.99,1,4
2,4.8138209627045985,1.0,2.888292577622759,0.0,0.0,4.8138209627045985,0.0,3.001368055237985,0.8300493430268938,-0.026334372443832195,-0.09647020694488809,3.8753722887142557,-0.1786034469608285,1.7397587449451388,4.836597359316263,-0.5969416805108757,1.0094063411047631,2.165657282289357,-1.5103087011014384,6.094221105379693,0.4621724022019835,-0.5153352827705667,3.2425545542113827,0.1,0.99,1,4
3,7.66919081916361,1.0,4.601514491498166,0.0,0.0,7.66919081916361,0.0,6.28587370941075,0.5498607180097714,-0.04333363342368835,-0.09012322793986799,3.2568728914578413,-0.7103335226296785,5.27713123271619,5.8455285860168535,-2.6736609334782915,3.201257036844459,1.23276324868467,-1.7194236873472633,3.2100095324814895,3.761747406744687,1.1466817967743324,4.731428336896716,0.1,0.99,1,4
4,4.766465036080541,1.0,2.8598790216483247,0.0,0.0,4.766465036080541,0.0,1.025829868911651,0.41799414019976355,0.07902154648426402,0.06128291108649542,4.0320056441737036,-1.9606146612151194,0.04455927328045018,3.276273547005153,-0.8759557714511776,4.057184043615356,1.579212525479737,0.1433987714177992,4.523324060962534,1.9851250186487635,2.614638249649771,5.250036224246081,0.1,0.99,1,4
5,7.854683491379884,1.0,4.712810094827931,0.0,0.0,7.854683491379884,0.0,1.662638106301299,0.9938245039933835,-0.021480656252692045,-0.09766566135010649,2.380469391593249,-0.9748997672294493,5.195096762274709,7.161318508163282,0.5016080519668233,5.563887929001686,1.8651934740979628,-3.952176847865691,4.149135224403537,6.60394731327075,-1.4914992080716494,1.5428503976869685,0.1,0.99,1,4
6,7.301951253574224,1.0,4.381170752144534,0.0,0.0,7.301951253574224,0.0,4.77449773919044,-0.20631975366778144,-0.056335266461542945,-0.08262165426029036,4.421974155503709,1.6010065112062966,2.6464073691117638,1.517731896666986,1.627909447743444,0.6655227581977521,6.11502542024078,0.09021713669581868,3.9782612700315196,3.365285632319587,3.631577976699069,2.3902761830455814,0.1,0.99,1,4
7,6.528540470000668,1.0,3.9171242820004006,0.0,0.0,6.528540470000668,0.0,2.748002359449228,0.49495273908588233,0.0619433131942322,-0.07850494220443233,6.789242746535517,-0.08548188621960676,1.6198247694253658,3.3618631944218826,2.287996265229236,4.794877983170314,3.139682170331502,2.885561421413107,4.384994629291034,4.81946995136311,0.7702637757358516,0.8084776370588383,0.1,0.99,1,4
8,6.346073307302126,1.0,3.8076439843812753,0.0,0.0,6.346073307302126,0.0,7.618803997296372,0.4002598832453503,-0.016798750415510634,-0.09857891247359844,0.8215890946829663,2.577706342911932,1.9737614773354712,5.67709430210741,2.064514624943356,1.966937706981462,3.8392010918071886,2.20185285352986,3.6235111838151846,2.6355142929962705,2.4923859813595612,6.105308177947733,0.1,0.99,1,4
9,6.758520621788324,1.0,4.055112373072994,0.0,0.0,6.758520621788324,0.0,1.9953468051546557,1.0409951119011889,-0.025119152286327835,-0.09679374044025922,5.307124237210564,2.1239515025268303,4.830335426435867,2.2542174458502675,-0.04289280881677289,3.3026276969528867,3.9989785672248432,-2.7654976563362093,0.9364963505070206,2.857259473947911,1.7964672189235205,6.063071150875708,0.1,0.99,1,4
10,6.934361844294814,1.0,4.160617106576888,0.0,0.0,6.934361844294814,0.0,6.852667442432385,0.7749175860114552,-0.09768750188851073,0.021381112571197337,2.077284382573299,1.1487262073021502,3.276838984707445,6.040889469527642,-0.412729115264532,1.9413044488174918,2.052761168058821,-1.4190750628535782,2.485354292917162,2.1435190874168737,-3.579133129311105,5.9120638629402205,0.1,0.99,1,4
